Date,Holiday
1/1/2013,New Year's Day
10/2/2013,Chinese New Year
11/2/2013,Chinese New Year
12/2/2013,Chinese New Year
29/3/2013,Good Friday
1/5/2013,Labour Day
25/5/2013,Vesak Day
8/8/2013,Hari Raya Puasa
9/8/2013,National Day
15/10/2013,Hari Raya Haji
2/11/2013,Deepavali
25/12/2013,Christmas Day
1/1/2014,New Year's Day
31/1/2014,Chinese New Year
1/2/2014,Chinese New Year
18/4/2014,Good Friday
1/5/2014,Labour Day
13/5/2014,Vesak Day
28/7/2014,Hari Raya Puasa
9/8/2014,National Day
5/10/2014,Hari Raya Haji
6/10/2014,Hari Raya Haji
22/10/2014,Deepavali
25/12/2014,Christmas Day
1/1/2015,New Year's Day
19/2/2015,Chinese New Year
20/2/2015,Chinese New Year
3/4/2015,Good Friday
1/5/2015,Labour Day
1/6/2015,Vesak Day
17/7/2015,Hari Raya Puasa
9/8/2015,National Day
10/8/2015,National Day
24/9/2015,Hari Raya Haji
10/11/2015,Deepavali
25/12/2015,Christmas Day
